itemId,city,sellOrderPrice,sellOrderPriceDate,buyOrderPrice,buyOrderPriceDate
T6_MetalBar_level2@2,"Fort Sterling",0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL2@2,Lymhurst,19477,2022-10-17T04:55:00,18390,2022-10-16T23:00:00
T6_METALBAR_LEVEL2@2,Martlock,19709,2022-10-16T14:50:00,18830,2022-10-16T14:50:00
T6_METALBAR_LEVEL2@2,Thetford,19787,2022-10-17T09:25:00,18511,2022-10-17T09:25:00
T6_MetalBar_level3@3,Bridgewatch,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL3@3,"Fort Sterling",57989,2022-10-16T20:40:00,49000,2022-10-16T16:35:00
T6_METALBAR_LEVEL3@3,Lymhurst,58566,2022-10-17T04:55:00,55000,2022-10-16T23:00:00
T6_METALBAR_LEVEL3@3,Martlock,55000,2022-10-16T14:50:00,45717,2022-10-16T14:50:00
T6_METALBAR_LEVEL3@3,Thetford,54954,2022-10-17T09:25:00,52001,2022-10-17T09:25:00
T7_METALBAR,Bridgewatch,6161,2022-10-16T17:30:00,5784,2022-10-16T17:30:00
T7_METALBAR,"Fort Sterling",5718,2022-10-17T06:50:00,5561,2022-10-16T19:35:00
T7_METALBAR,Lymhurst,6015,2022-10-17T04:55:00,5606,2022-10-16T23:05:00
T7_METALBAR,Martlock,5949,2022-10-17T08:45:00,5781,2022-10-16T19:15:00
T7_METALBAR,Thetford,5944,2022-10-17T09:25:00,5618,2022-10-17T09:25:00
T7_MetalBar_level1@1,"Fort Sterling",0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T7_METALBAR_LEVEL1@1,Bridgewatch,19483,2022-10-16T17:30:00,17503,2022-10-16T17:30:00
T7_METALBAR_LEVEL1@1,Lymhurst,17947,2022-10-17T04:55:00,0,0001-01-01T00:00:00
T7_METALBAR_LEVEL1@1,Martlock,17383,2022-10-16T14:50:00,15570,2022-10-16T14:50:00
T7_METALBAR_LEVEL1@1,Thetford,17995,2022-10-17T09:25:00,17002,2022-10-17T09:25:00
T7_MetalBar_level2@2,"Fort Sterling",0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T7_MetalBar_level2@2,Martlock,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T7_METALBAR_LEVEL2@2,Bridgewatch,47992,2022-10-16T17:30:00,42400,2022-10-16T17:30:00
T7_METALBAR_LEVEL2@2,Lymhurst,44991,2022-10-17T04:55:00,0,0001-01-01T00:00:00
T7_METALBAR_LEVEL2@2,Thetford,46938,2022-10-17T09:25:00,43002,2022-10-17T09:25:00
T7_METALBAR_LEVEL3@3,Bridgewatch,117000,2022-10-16T17:30:00,65000,2022-10-16T17:30:00
T7_METALBAR_LEVEL3@3,"Fort Sterling",119799,2022-10-16T20:40:00,0,0001-01-01T00:00:00
T7_METALBAR_LEVEL3@3,Lymhurst,144995,2022-10-17T04:55:00,0,0001-01-01T00:00:00
T7_METALBAR_LEVEL3@3,Martlock,117999,2022-10-16T14:50:00,100028,2022-10-16T14:50:00
T7_METALBAR_LEVEL3@3,Thetford,104997,2022-10-17T09:25:00,75003,2022-10-17T09:25:00
T8_MetalBar,Bridgewatch,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T8_METALBAR,"Fort Sterling",21393,2022-10-17T07:35:00,20700,2022-10-16T19:35:00
T8_METALBAR,Lymhurst,20919,2022-10-17T04:55:00,19512,2022-10-16T18:55:00
T8_METALBAR,Martlock,21183,2022-10-16T19:15:00,20256,2022-10-16T19:15:00
T8_METALBAR,Thetford,21190,2022-10-17T09:25:00,19604,2022-10-17T09:25:00
T8_METALBAR_LEVEL1@1,Bridgewatch,48979,2022-10-16T17:30:00,40004,2022-10-16T17:30:00
T8_METALBAR_LEVEL1@1,"Fort Sterling",47000,2022-10-17T05:00:00,0,0001-01-01T00:00:00
T8_METALBAR_LEVEL1@1,Lymhurst,47422,2022-10-17T04:55:00,0,0001-01-01T00:00:00
T8_METALBAR_LEVEL1@1,Martlock,47994,2022-10-17T09:05:00,44971,2022-10-17T09:05:00
T8_METALBAR_LEVEL1@1,Thetford,47962,2022-10-17T09:25:00,43013,2022-10-17T09:25:00
T8_MetalBar_level2@2,"Fort Sterling",0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T8_METALBAR_LEVEL2@2,Bridgewatch,99999,2022-10-17T09:10:00,86000,2022-10-17T09:10:00
T8_METALBAR_LEVEL2@2,Lymhurst,97950,2022-10-17T09:05:00,80023,2022-10-17T09:05:00
T8_METALBAR_LEVEL2@2,Martlock,101966,2022-10-17T09:05:00,86022,2022-10-17T09:05:00
T8_METALBAR_LEVEL2@2,Thetford,94999,2022-10-17T09:25:00,90021,2022-10-17T09:25:00
T8_METALBAR_LEVEL3@3,Bridgewatch,225000,2022-10-16T17:30:00,205036,2022-10-16T17:30:00
T8_METALBAR_LEVEL3@3,"Fort Sterling",234996,2022-10-16T23:05:00,200104,2022-10-16T23:05:00
T8_METALBAR_LEVEL3@3,Lymhurst,231998,2022-10-17T04:55:00,0,0001-01-01T00:00:00
T8_METALBAR_LEVEL3@3,Martlock,227997,2022-10-17T09:05:00,203025,2022-10-17T09:05:00
T8_METALBAR_LEVEL3@3,Thetford,228966,2022-10-17T09:25:00,211014,2022-10-17T09:25:00
