itemId,city,quality,sellOrderPrice,sellOrderPriceDate,buyOrderPrice,buyOrderPriceDate,primaryResource,primaryResourceAmount,secondaryResource,secondaryResourceAmount
T8_HEAD_CLOTH_SET2,"Black Market",2,150983,2022-10-17T21:40:00,19565,2022-10-18T01:00:00,cloth,8,,
T8_HEAD_CLOTH_SET2@1,"Black Market",2,285998,2022-10-17T19:05:00,84308,2022-10-18T01:00:00,cloth,8,,
T8_HEAD_CLOTH_SET2@2,"Black Market",2,0,0001-01-01T00:00:00,102357,2022-10-18T01:00:00,cloth,8,,
T8_HEAD_CLOTH_SET2@3,"Black Market",2,0,0001-01-01T00:00:00,758646,2022-10-18T00:55:00,cloth,8,,
T2_HEAD_CLOTH_SET3,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,8,,
T3_HEAD_CLOTH_SET3,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,8,,
T4_HEAD_CLOTH_SET3,"Black Market",2,1576,2022-10-18T07:00:00,1504,2022-10-18T07:00:00,cloth,8,,
T4_HEAD_CLOTH_SET3@1,"Black Market",2,2267,2022-10-17T20:35:00,2256,2022-10-18T01:00:00,cloth,8,,
T4_HEAD_CLOTH_SET3@2,"Black Market",2,0,0001-01-01T00:00:00,752,2022-10-18T01:00:00,cloth,8,,
T4_HEAD_CLOTH_SET3@3,"Black Market",2,0,0001-01-01T00:00:00,12048,2022-10-18T01:00:00,cloth,8,,
T5_HEAD_CLOTH_SET3,"Black Market",2,5330,2022-10-17T21:00:00,3384,2022-10-18T01:00:00,cloth,8,,
T5_HEAD_CLOTH_SET3@1,"Black Market",2,8381,2022-10-17T21:00:00,8272,2022-10-18T01:00:00,cloth,8,,
T5_HEAD_CLOTH_SET3@2,"Black Market",2,0,0001-01-01T00:00:00,21084,2022-10-18T01:00:00,cloth,8,,
T5_HEAD_CLOTH_SET3@3,"Black Market",2,113999,2022-10-17T19:45:00,52675,2022-10-18T01:00:00,cloth,8,,
T6_HEAD_CLOTH_SET3,"Black Market",2,15443,2022-10-17T21:25:00,10528,2022-10-18T01:00:00,cloth,8,,
T6_HEAD_CLOTH_SET3@1,"Black Market",2,27250,2022-10-18T05:45:00,13554,2022-10-18T05:45:00,cloth,8,,
T6_HEAD_CLOTH_SET3@2,"Black Market",2,0,0001-01-01T00:00:00,4515,2022-10-18T01:00:00,cloth,8,,
T6_HEAD_CLOTH_SET3@3,"Black Market",2,0,0001-01-01T00:00:00,45165,2022-10-18T01:05:00,cloth,8,,
T7_HEAD_CLOTH_SET3,"Black Market",2,55886,2022-10-17T21:35:00,49698,2022-10-18T01:00:00,cloth,8,,
T7_HEAD_CLOTH_SET3@1,"Black Market",2,120999,2022-10-17T12:40:00,69230,2022-10-18T01:05:00,cloth,8,,
T7_HEAD_CLOTH_SET3@2,"Black Market",2,304686,2022-10-17T19:45:00,270990,2022-10-18T06:55:00,cloth,8,,
T7_HEAD_CLOTH_SET3@3,"Black Market",2,0,0001-01-01T00:00:00,132462,2022-10-18T06:55:00,cloth,8,,
T8_HEAD_CLOTH_SET3,"Black Market",2,116879,2022-10-17T21:40:00,49665,2022-10-18T01:00:00,cloth,8,,
T8_HEAD_CLOTH_SET3@1,"Black Market",2,0,0001-01-01T00:00:00,210770,2022-10-18T06:55:00,cloth,8,,
T8_HEAD_CLOTH_SET3@2,"Black Market",2,741000,2022-10-18T00:45:00,301050,2022-10-18T06:55:00,cloth,8,,
T8_HEAD_CLOTH_SET3@3,"Black Market",2,0,0001-01-01T00:00:00,770688,2022-10-18T01:00:00,cloth,8,,
T2_ARMOR_CLOTH_SET1,"Black Market",2,0,0001-01-01T00:00:00,47,2022-10-18T06:20:00,cloth,16,,
T3_ARMOR_CLOTH_SET1,"Black Market",2,0,0001-01-01T00:00:00,1974,2022-10-17T16:00:00,cloth,16,,
T4_ARMOR_CLOTH_SET1,"Black Market",2,2387,2022-10-18T09:05:00,188,2022-10-18T09:05:00,cloth,16,,
T4_ARMOR_CLOTH_SET1@1,"Black Market",2,4201,2022-10-18T05:20:00,4136,2022-10-18T05:20:00,cloth,16,,
T4_ARMOR_CLOTH_SET1@2,"Black Market",2,20902,2022-10-17T18:40:00,17319,2022-10-18T01:00:00,cloth,16,,
T4_ARMOR_CLOTH_SET1@3,"Black Market",2,0,0001-01-01T00:00:00,84280,2022-10-18T01:00:00,cloth,16,,
T5_ARMOR_CLOTH_SET1,"Black Market",2,9363,2022-10-18T09:05:00,9024,2022-10-18T09:05:00,cloth,16,,
T5_ARMOR_CLOTH_SET1@1,"Black Market",2,13996,2022-10-17T21:25:00,13554,2022-10-18T01:00:00,cloth,16,,
T5_ARMOR_CLOTH_SET1@2,"Black Market",2,38000,2022-10-17T18:40:00,33110,2022-10-18T01:00:00,cloth,16,,
T5_ARMOR_CLOTH_SET1@3,"Black Market",2,260000,2022-10-17T19:05:00,51187,2022-10-18T01:00:00,cloth,16,,
T6_ARMOR_CLOTH_SET1,"Black Market",2,23345,2022-10-18T01:00:00,18072,2022-10-18T01:00:00,cloth,16,,
T6_ARMOR_CLOTH_SET1@1,"Black Market",2,61519,2022-10-18T04:15:00,28595,2022-10-18T04:15:00,cloth,16,,
T6_ARMOR_CLOTH_SET1@2,"Black Market",2,155993,2022-10-17T18:40:00,123451,2022-10-18T01:00:00,cloth,16,,
T6_ARMOR_CLOTH_SET1@3,"Black Market",2,0,0001-01-01T00:00:00,282987,2022-10-18T01:00:00,cloth,16,,
T7_ARMOR_CLOTH_SET1,"Black Market",2,74961,2022-10-18T00:50:00,33110,2022-10-18T01:00:00,cloth,16,,
T7_ARMOR_CLOTH_SET1@1,"Black Market",2,156585,2022-10-17T21:35:00,120440,2022-10-18T01:00:00,cloth,16,,
T7_ARMOR_CLOTH_SET1@2,"Black Market",2,409992,2022-10-17T18:40:00,156546,2022-10-18T01:00:00,cloth,16,,
T7_ARMOR_CLOTH_SET1@3,"Black Market",2,0,0001-01-01T00:00:00,385344,2022-10-18T00:55:00,cloth,16,,
T8_ARMOR_CLOTH_SET1,"Black Market",2,198959,2022-10-18T01:00:00,198726,2022-10-18T01:00:00,cloth,16,,
T8_ARMOR_CLOTH_SET1@1,"Black Market",2,453898,2022-10-17T18:40:00,421470,2022-10-18T06:55:00,cloth,16,,
T8_ARMOR_CLOTH_SET1@2,"Black Market",2,910000,2022-10-17T18:40:00,698436,2022-10-18T06:55:00,cloth,16,,
T8_ARMOR_CLOTH_SET1@3,"Black Market",2,1543987,2022-10-17T18:40:00,1156032,2022-10-18T06:50:00,cloth,16,,
T2_ARMOR_CLOTH_SET2,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,16,,
T3_ARMOR_CLOTH_SET2,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,16,,
T4_ARMOR_CLOTH_SET2,"Black Market",2,2936,2022-10-18T07:05:00,2820,2022-10-18T07:00:00,cloth,16,,
T4_ARMOR_CLOTH_SET2@1,"Black Market",2,4515,2022-10-18T05:25:00,4512,2022-10-18T05:25:00,cloth,16,,
T4_ARMOR_CLOTH_SET2@2,"Black Market",2,21682,2022-10-17T18:40:00,9036,2022-10-18T01:00:00,cloth,16,,
T4_ARMOR_CLOTH_SET2@3,"Black Market",2,79861,2022-10-17T18:35:00,9030,2022-10-18T01:00:00,cloth,16,,
T5_ARMOR_CLOTH_SET2,"Black Market",2,7946,2022-10-18T07:45:00,7520,2022-10-18T07:45:00,cloth,16,,
T5_ARMOR_CLOTH_SET2@1,"Black Market",2,13811,2022-10-18T05:20:00,13554,2022-10-18T05:25:00,cloth,16,,
T5_ARMOR_CLOTH_SET2@2,"Black Market",2,39099,2022-10-17T18:35:00,28595,2022-10-18T01:00:00,cloth,16,,
T5_ARMOR_CLOTH_SET2@3,"Black Market",2,174655,2022-10-17T18:40:00,84308,2022-10-18T01:00:00,cloth,16,,
T6_ARMOR_CLOTH_SET2,"Black Market",2,23500,2022-10-17T21:20:00,22590,2022-10-18T00:50:00,cloth,16,,
T6_ARMOR_CLOTH_SET2@1,"Black Market",2,49858,2022-10-17T21:20:00,49665,2022-10-18T01:00:00,cloth,16,,
T6_ARMOR_CLOTH_SET2@2,"Black Market",2,172988,2022-10-17T18:40:00,141517,2022-10-18T01:00:00,cloth,16,,
T6_ARMOR_CLOTH_SET2@3,"Black Market",2,441997,2022-10-17T18:40:00,337176,2022-10-18T01:00:00,cloth,16,,
T7_ARMOR_CLOTH_SET2,"Black Market",2,75743,2022-10-17T21:30:00,66220,2022-10-18T01:00:00,cloth,16,,
T7_ARMOR_CLOTH_SET2@1,"Black Market",2,189948,2022-10-17T18:35:00,186682,2022-10-18T06:55:00,cloth,16,,
T7_ARMOR_CLOTH_SET2@2,"Black Market",2,395999,2022-10-17T18:40:00,325134,2022-10-18T06:55:00,cloth,16,,
